role,industry,company_size,lead_source,seniority,growth_rate,lead_score,timing_segment,day_of_week,send_hour,timezone_region,email_replied
VP Sales,SaaS,small,Inbound,senior,0.12,0.33,VP Sales|Inbound|US,Sunday,8,US,0
CEO,SaaS,enterprise,LinkedIn,senior,0.441,0.39,CEO|LinkedIn|Europe,Monday,5,Europe,0
HR Director,Fintech,medium,Inbound,executive,0.093,0.286,HR Director|Inbound|Europe,Saturday,17,Europe,0
VP Sales,AI,small,ColdList,junior,0.494,0.37,VP Sales|ColdList|Asia,Saturday,7,Asia,0
CTO,SaaS,large,ColdList,junior,0.774,0.407,CTO|ColdList|US,Friday,17,US,0
CEO,Healthcare,large,Conference,junior,0.519,0.369,CEO|Conference|Asia,Saturday,8,Asia,0
HR Director,AI,large,Referral,senior,0.571,0.382,HR Director|Referral|Europe,Sunday,11,Europe,0
VP Sales,AI,small,Inbound,senior,0.392,0.413,VP Sales|Inbound|Europe,Sunday,0,Europe,0
HR Director,Fintech,enterprise,LinkedIn,mid,0.411,0.288,HR Director|LinkedIn|Asia,Sunday,4,Asia,0
CTO,SaaS,enterprise,Inbound,junior,0.74,0.452,CTO|Inbound|US,Monday,19,US,0
Founder,AI,small,Inbound,junior,0.654,0.493,Founder|Inbound|US,Monday,1,US,0
CEO,Ecommerce,small,ColdList,executive,0.465,0.367,CEO|ColdList|US,Thursday,15,US,0
HR Director,Healthcare,medium,LinkedIn,junior,0.563,0.359,HR Director|LinkedIn|Asia,Thursday,20,Asia,0
VP Sales,SaaS,enterprise,Conference,mid,0.636,0.414,VP Sales|Conference|Europe,Friday,11,Europe,1
Founder,Fintech,medium,LinkedIn,senior,0.865,0.502,Founder|LinkedIn|US,Sunday,3,US,0
Founder,Healthcare,large,Inbound,mid,0.352,0.337,Founder|Inbound|Europe,Monday,15,Europe,0
HR Director,Ecommerce,enterprise,Conference,mid,0.363,0.28,HR Director|Conference|US,Monday,17,US,0
Founder,Healthcare,large,Conference,executive,0.607,0.483,Founder|Conference|Asia,Wednesday,19,Asia,0
Marketing Manager,Fintech,medium,ColdList,executive,0.604,0.353,Marketing Manager|ColdList|US,Friday,15,US,1
CTO,Ecommerce,medium,LinkedIn,executive,0.892,0.52,CTO|LinkedIn|Asia,Thursday,20,Asia,0
Founder,SaaS,enterprise,Inbound,mid,0.211,0.286,Founder|Inbound|US,Tuesday,21,US,0
VP Sales,Ecommerce,medium,LinkedIn,senior,0.641,0.473,VP Sales|LinkedIn|Asia,Friday,4,Asia,0
CEO,Fintech,large,ColdList,mid,0.424,0.337,CEO|ColdList|US,Tuesday,1,US,0
VP Sales,AI,enterprise,Inbound,junior,0.114,0.289,VP Sales|Inbound|Europe,Friday,5,Europe,0
HR Director,AI,small,Conference,mid,0.571,0.346,HR Director|Conference|US,Tuesday,4,US,0
Founder,Healthcare,large,LinkedIn,mid,0.568,0.424,Founder|LinkedIn|Asia,Wednesday,21,Asia,0
HR Director,SaaS,large,ColdList,executive,0.693,0.427,HR Director|ColdList|Europe,Thursday,23,Europe,0
CEO,SaaS,medium,ColdList,mid,0.302,0.274,CEO|ColdList|Europe,Wednesday,6,Europe,1
HR Director,AI,enterprise,ColdList,junior,0.857,0.334,HR Director|ColdList|US,Tuesday,14,US,1
CEO,Healthcare,large,Conference,senior,0.992,0.524,CEO|Conference|Europe,Tuesday,19,Europe,0
VP Sales,Healthcare,small,Inbound,senior,0.325,0.369,VP Sales|Inbound|Europe,Thursday,18,Europe,0
Marketing Manager,AI,small,LinkedIn,junior,0.016,0.192,Marketing Manager|LinkedIn|Asia,Tuesday,15,Asia,0
Marketing Manager,Ecommerce,medium,LinkedIn,junior,0.107,0.214,Marketing Manager|LinkedIn|Asia,Friday,2,Asia,0
Founder,SaaS,medium,Referral,mid,0.37,0.378,Founder|Referral|Asia,Wednesday,6,Asia,0
CTO,SaaS,large,Conference,junior,0.855,0.471,CTO|Conference|Europe,Wednesday,14,Europe,0
VP Sales,AI,medium,Conference,mid,0.302,0.318,VP Sales|Conference|Europe,Wednesday,10,Europe,0
CTO,Fintech,large,ColdList,executive,0.623,0.458,CTO|ColdList|US,Saturday,5,US,1
CTO,Healthcare,medium,ColdList,mid,0.276,0.321,CTO|ColdList|Asia,Thursday,1,Asia,0
HR Director,SaaS,small,Conference,junior,0.796,0.431,HR Director|Conference|Asia,Tuesday,18,Asia,0
Marketing Manager,SaaS,enterprise,Referral,senior,0.133,0.244,Marketing Manager|Referral|Asia,Wednesday,20,Asia,0
CEO,AI,small,Conference,senior,0.399,0.414,CEO|Conference|US,Thursday,16,US,0
CTO,Ecommerce,large,ColdList,junior,0.192,0.255,CTO|ColdList|Europe,Saturday,6,Europe,0
Founder,AI,small,ColdList,executive,0.697,0.46,Founder|ColdList|US,Wednesday,17,US,0
HR Director,Healthcare,medium,Inbound,junior,0.704,0.415,HR Director|Inbound|Europe,Tuesday,23,Europe,0
CTO,SaaS,large,Referral,senior,0.504,0.422,CTO|Referral|Europe,Wednesday,3,Europe,0
Marketing Manager,Healthcare,medium,Inbound,junior,0.285,0.262,Marketing Manager|Inbound|Europe,Tuesday,13,Europe,0
HR Director,SaaS,small,Conference,senior,0.89,0.491,HR Director|Conference|Asia,Tuesday,1,Asia,0
VP Sales,Ecommerce,enterprise,Conference,senior,0.624,0.428,VP Sales|Conference|Asia,Friday,2,Asia,0
Founder,SaaS,medium,Conference,executive,0.887,0.581,Founder|Conference|US,Wednesday,19,US,1
HR Director,Ecommerce,small,ColdList,mid,0.796,0.385,HR Director|ColdList|Asia,Saturday,3,Asia,0
CTO,Ecommerce,large,Referral,mid,0.102,0.35,CTO|Referral|US,Thursday,17,US,0
Marketing Manager,SaaS,medium,Referral,senior,0.395,0.381,Marketing Manager|Referral|US,Thursday,15,US,1
CEO,AI,medium,ColdList,mid,0.242,0.303,CEO|ColdList|US,Thursday,14,US,1
CEO,Ecommerce,medium,Inbound,executive,0.64,0.542,CEO|Inbound|Europe,Thursday,22,Europe,0
HR Director,Healthcare,enterprise,Referral,junior,0.04,0.245,HR Director|Referral|US,Saturday,10,US,1
CEO,Fintech,small,ColdList,junior,0.019,0.244,CEO|ColdList|Asia,Saturday,19,Asia,0
VP Sales,Fintech,large,ColdList,mid,0.432,0.351,VP Sales|ColdList|Europe,Wednesday,2,Europe,0
HR Director,Fintech,medium,Conference,executive,0.752,0.429,HR Director|Conference|Asia,Sunday,22,Asia,0
CEO,Ecommerce,small,Inbound,mid,0.795,0.525,CEO|Inbound|US,Friday,18,US,0
HR Director,Fintech,enterprise,Inbound,executive,0.516,0.376,HR Director|Inbound|US,Thursday,23,US,0
VP Sales,Fintech,small,Inbound,senior,0.579,0.456,VP Sales|Inbound|Asia,Monday,2,Asia,0
CTO,Fintech,large,Referral,senior,0.707,0.479,CTO|Referral|Europe,Saturday,1,Europe,0
HR Director,SaaS,enterprise,Conference,senior,0.006,0.197,HR Director|Conference|Europe,Friday,17,Europe,0
VP Sales,Fintech,large,Conference,executive,0.505,0.463,VP Sales|Conference|US,Saturday,13,US,0
Marketing Manager,Ecommerce,large,LinkedIn,senior,0.552,0.384,Marketing Manager|LinkedIn|Europe,Saturday,11,Europe,0
Marketing Manager,AI,small,Referral,mid,0.708,0.394,Marketing Manager|Referral|Asia,Saturday,10,Asia,0
CEO,AI,small,LinkedIn,junior,0.597,0.376,CEO|LinkedIn|Europe,Thursday,9,Europe,0
VP Sales,Fintech,enterprise,ColdList,junior,0.943,0.434,VP Sales|ColdList|US,Wednesday,23,US,0
CEO,Fintech,medium,ColdList,mid,0.42,0.351,CEO|ColdList|Asia,Saturday,15,Asia,0
CTO,Fintech,medium,Referral,junior,0.14,0.36,CTO|Referral|US,Monday,14,US,0
HR Director,Ecommerce,medium,ColdList,senior,0.675,0.355,HR Director|ColdList|Asia,Saturday,21,Asia,0
CTO,Fintech,enterprise,ColdList,executive,0.244,0.284,CTO|ColdList|US,Sunday,15,US,0
CEO,Fintech,small,LinkedIn,executive,0.162,0.364,CEO|LinkedIn|Europe,Tuesday,1,Europe,0
Marketing Manager,SaaS,small,Referral,junior,0.509,0.366,Marketing Manager|Referral|Asia,Monday,7,Asia,0
CTO,SaaS,small,Referral,junior,0.501,0.411,CTO|Referral|Asia,Wednesday,2,Asia,0
CEO,Ecommerce,large,Conference,junior,0.425,0.355,CEO|Conference|Asia,Friday,15,Asia,0
CTO,AI,enterprise,LinkedIn,mid,0.665,0.418,CTO|LinkedIn|US,Monday,8,US,1
HR Director,Fintech,large,ColdList,mid,0.104,0.209,HR Director|ColdList|US,Thursday,11,US,0
VP Sales,SaaS,small,LinkedIn,senior,0.111,0.29,VP Sales|LinkedIn|Europe,Monday,7,Europe,0
Marketing Manager,Fintech,small,Conference,mid,0.685,0.38,Marketing Manager|Conference|US,Tuesday,21,US,0
HR Director,Healthcare,medium,LinkedIn,executive,0.378,0.348,HR Director|LinkedIn|Asia,Sunday,2,Asia,0
Founder,Ecommerce,enterprise,Inbound,executive,0.491,0.481,Founder|Inbound|Europe,Thursday,23,Europe,0
VP Sales,Healthcare,small,Referral,mid,0.606,0.438,VP Sales|Referral|Asia,Monday,17,Asia,0
CEO,SaaS,large,Inbound,executive,0.225,0.4,CEO|Inbound|US,Wednesday,11,US,0
VP Sales,Ecommerce,small,Conference,mid,0.281,0.281,VP Sales|Conference|Asia,Friday,17,Asia,0
VP Sales,AI,small,Referral,junior,0.348,0.374,VP Sales|Referral|Asia,Thursday,10,Asia,0
Founder,AI,medium,Conference,mid,0.033,0.225,Founder|Conference|Asia,Wednesday,9,Asia,1
CTO,Ecommerce,large,ColdList,junior,0.943,0.502,CTO|ColdList|Europe,Tuesday,16,Europe,1
CTO,Healthcare,small,ColdList,mid,0.459,0.303,CTO|ColdList|US,Saturday,8,US,0
HR Director,AI,large,Referral,senior,0.267,0.355,HR Director|Referral|Europe,Sunday,1,Europe,0
HR Director,Healthcare,enterprise,Conference,mid,0.644,0.361,HR Director|Conference|US,Saturday,4,US,0
CEO,SaaS,large,LinkedIn,senior,0.494,0.392,CEO|LinkedIn|US,Monday,3,US,0
HR Director,Healthcare,small,ColdList,junior,0.943,0.418,HR Director|ColdList|Europe,Monday,22,Europe,0
VP Sales,AI,large,Referral,executive,0.126,0.35,VP Sales|Referral|Europe,Wednesday,9,Europe,0
VP Sales,SaaS,small,LinkedIn,junior,0.502,0.36,VP Sales|LinkedIn|US,Thursday,0,US,0
HR Director,AI,large,Referral,junior,0.464,0.373,HR Director|Referral|Europe,Tuesday,9,Europe,0
Founder,Healthcare,large,Inbound,junior,0.755,0.505,Founder|Inbound|Europe,Saturday,1,Europe,0
VP Sales,Healthcare,medium,ColdList,executive,0.841,0.467,VP Sales|ColdList|Europe,Tuesday,9,Europe,1
HR Director,Fintech,small,LinkedIn,executive,0.768,0.435,HR Director|LinkedIn|US,Wednesday,7,US,0
HR Director,Healthcare,large,LinkedIn,junior,0.166,0.258,HR Director|LinkedIn|US,Wednesday,19,US,0
Marketing Manager,Fintech,enterprise,ColdList,mid,0.729,0.359,Marketing Manager|ColdList|Europe,Tuesday,11,Europe,0
HR Director,AI,medium,Conference,mid,0.315,0.245,HR Director|Conference|US,Saturday,21,US,0
CTO,SaaS,small,Inbound,junior,0.64,0.448,CTO|Inbound|US,Monday,12,US,1
Founder,Fintech,small,LinkedIn,senior,0.871,0.499,Founder|LinkedIn|Asia,Tuesday,2,Asia,0
VP Sales,Fintech,large,Referral,senior,0.67,0.477,VP Sales|Referral|US,Wednesday,13,US,0
Marketing Manager,Ecommerce,large,ColdList,mid,0.413,0.248,Marketing Manager|ColdList|Asia,Saturday,2,Asia,0
VP Sales,AI,medium,Conference,mid,0.72,0.444,VP Sales|Conference|US,Friday,11,US,0
HR Director,AI,small,Referral,mid,0.134,0.275,HR Director|Referral|Europe,Wednesday,17,Europe,0
HR Director,Fintech,large,Referral,junior,0.336,0.288,HR Director|Referral|Europe,Sunday,15,Europe,0
CTO,Ecommerce,enterprise,Referral,senior,0.259,0.361,CTO|Referral|US,Sunday,9,US,0
VP Sales,Healthcare,enterprise,ColdList,senior,0.779,0.419,VP Sales|ColdList|Europe,Wednesday,18,Europe,1
VP Sales,AI,small,LinkedIn,executive,0.009,0.336,VP Sales|LinkedIn|Asia,Friday,17,Asia,0
CEO,Healthcare,large,ColdList,mid,0.497,0.337,CEO|ColdList|Asia,Friday,7,Asia,0
VP Sales,SaaS,small,Referral,junior,0.022,0.294,VP Sales|Referral|US,Sunday,8,US,0
Marketing Manager,Fintech,enterprise,LinkedIn,junior,0.756,0.4,Marketing Manager|LinkedIn|Asia,Monday,18,Asia,1
HR Director,AI,enterprise,LinkedIn,executive,0.564,0.391,HR Director|LinkedIn|Europe,Thursday,4,Europe,0
VP Sales,AI,medium,LinkedIn,executive,0.774,0.481,VP Sales|LinkedIn|Europe,Tuesday,4,Europe,0
HR Director,Ecommerce,large,Referral,senior,0.948,0.531,HR Director|Referral|Asia,Tuesday,14,Asia,0
VP Sales,SaaS,enterprise,Inbound,senior,0.57,0.474,VP Sales|Inbound|Europe,Saturday,8,Europe,0
Marketing Manager,Ecommerce,large,Conference,junior,0.173,0.197,Marketing Manager|Conference|Asia,Saturday,6,Asia,0
HR Director,Fintech,enterprise,LinkedIn,mid,0.133,0.229,HR Director|LinkedIn|Europe,Tuesday,21,Europe,0
CEO,Healthcare,medium,Conference,executive,0.102,0.291,CEO|Conference|Asia,Thursday,8,Asia,0
Marketing Manager,Healthcare,large,ColdList,junior,0.081,0.173,Marketing Manager|ColdList|US,Friday,12,US,0
Marketing Manager,SaaS,medium,Referral,mid,0.038,0.255,Marketing Manager|Referral|Europe,Sunday,20,Europe,0
Founder,Fintech,enterprise,Conference,executive,0.482,0.425,Founder|Conference|US,Wednesday,5,US,0
CEO,Healthcare,medium,Referral,executive,0.52,0.517,CEO|Referral|Europe,Tuesday,19,Europe,1
Marketing Manager,SaaS,small,LinkedIn,mid,0.379,0.252,Marketing Manager|LinkedIn|US,Thursday,14,US,0
Marketing Manager,Ecommerce,enterprise,Inbound,executive,0.971,0.552,Marketing Manager|Inbound|US,Sunday,10,US,0
VP Sales,Fintech,small,LinkedIn,senior,0.182,0.297,VP Sales|LinkedIn|Asia,Friday,18,Asia,0
HR Director,Ecommerce,large,LinkedIn,executive,0.623,0.41,HR Director|LinkedIn|Europe,Sunday,7,Europe,0
CEO,Ecommerce,enterprise,Referral,senior,0.941,0.551,CEO|Referral|Asia,Saturday,9,Asia,0
HR Director,Healthcare,large,Inbound,junior,0.525,0.318,HR Director|Inbound|Asia,Thursday,17,Asia,0
CEO,SaaS,enterprise,LinkedIn,mid,0.944,0.512,CEO|LinkedIn|Asia,Monday,16,Asia,0
CEO,Ecommerce,large,Inbound,executive,0.772,0.512,CEO|Inbound|US,Tuesday,7,US,0
Founder,Ecommerce,enterprise,ColdList,junior,0.46,0.295,Founder|ColdList|US,Thursday,19,US,0
Founder,Ecommerce,small,Conference,junior,0.886,0.475,Founder|Conference|Europe,Wednesday,2,Europe,0
Marketing Manager,SaaS,medium,LinkedIn,junior,0.444,0.304,Marketing Manager|LinkedIn|Europe,Saturday,17,Europe,0
VP Sales,AI,large,Inbound,senior,0.949,0.572,VP Sales|Inbound|Europe,Monday,18,Europe,0
Marketing Manager,Ecommerce,enterprise,Referral,mid,0.391,0.311,Marketing Manager|Referral|Asia,Friday,9,Asia,0
Marketing Manager,SaaS,small,ColdList,mid,0.039,0.165,Marketing Manager|ColdList|Asia,Sunday,7,Asia,0
CTO,AI,enterprise,Referral,junior,0.487,0.382,CTO|Referral|Asia,Thursday,8,Asia,0
Founder,AI,small,Conference,executive,0.449,0.457,Founder|Conference|Asia,Monday,14,Asia,0
VP Sales,Ecommerce,large,Inbound,senior,0.447,0.39,VP Sales|Inbound|US,Friday,2,US,0
VP Sales,Fintech,enterprise,ColdList,junior,0.504,0.337,VP Sales|ColdList|Asia,Friday,7,Asia,0
CEO,Healthcare,enterprise,LinkedIn,junior,0.967,0.521,CEO|LinkedIn|US,Wednesday,18,US,0
Marketing Manager,Ecommerce,medium,ColdList,mid,0.987,0.408,Marketing Manager|ColdList|US,Thursday,17,US,1
HR Director,Ecommerce,medium,Conference,senior,0.068,0.221,HR Director|Conference|Europe,Friday,14,Europe,0
HR Director,Ecommerce,medium,LinkedIn,mid,0.668,0.403,HR Director|LinkedIn|Europe,Saturday,5,Europe,0
CTO,Fintech,large,Conference,executive,0.99,0.538,CTO|Conference|US,Monday,4,US,0
HR Director,Ecommerce,large,Inbound,junior,0.367,0.287,HR Director|Inbound|Europe,Tuesday,22,Europe,0
CTO,Ecommerce,small,ColdList,executive,0.811,0.506,CTO|ColdList|Asia,Tuesday,13,Asia,1
CEO,AI,small,Referral,executive,0.338,0.446,CEO|Referral|Asia,Tuesday,4,Asia,0
Marketing Manager,Ecommerce,enterprise,Conference,junior,0.736,0.33,Marketing Manager|Conference|Europe,Sunday,1,Europe,0
CTO,AI,medium,Referral,executive,0.031,0.366,CTO|Referral|Asia,Monday,8,Asia,0
Marketing Manager,AI,medium,Conference,executive,0.082,0.242,Marketing Manager|Conference|Europe,Saturday,20,Europe,0
CEO,SaaS,large,Conference,executive,0.8,0.51,CEO|Conference|Asia,Sunday,0,Asia,0
VP Sales,Healthcare,small,Inbound,mid,0.29,0.336,VP Sales|Inbound|Europe,Friday,23,Europe,0
Marketing Manager,Fintech,small,ColdList,junior,0.726,0.351,Marketing Manager|ColdList|Asia,Friday,16,Asia,0
HR Director,Ecommerce,medium,LinkedIn,mid,0.136,0.248,HR Director|LinkedIn|Asia,Saturday,7,Asia,0
CEO,SaaS,large,Inbound,junior,0.014,0.303,CEO|Inbound|US,Saturday,3,US,0
Marketing Manager,AI,large,ColdList,executive,0.453,0.326,Marketing Manager|ColdList|US,Sunday,15,US,0
HR Director,Healthcare,enterprise,Conference,junior,0.297,0.27,HR Director|Conference|Asia,Thursday,17,Asia,0
VP Sales,AI,large,Conference,executive,0.492,0.458,VP Sales|Conference|Europe,Sunday,21,Europe,0
VP Sales,Healthcare,enterprise,Conference,senior,0.481,0.373,VP Sales|Conference|Asia,Thursday,1,Asia,0
Marketing Manager,Fintech,enterprise,ColdList,senior,0.88,0.396,Marketing Manager|ColdList|Europe,Tuesday,2,Europe,0
Founder,Healthcare,medium,Inbound,executive,0.996,0.628,Founder|Inbound|Europe,Thursday,11,Europe,1
CTO,Ecommerce,large,LinkedIn,executive,0.89,0.547,CTO|LinkedIn|Asia,Tuesday,19,Asia,0
VP Sales,AI,small,LinkedIn,executive,0.8,0.553,VP Sales|LinkedIn|Europe,Tuesday,9,Europe,0
CEO,Fintech,small,ColdList,mid,0.056,0.201,CEO|ColdList|Asia,Monday,17,Asia,0
CEO,SaaS,small,LinkedIn,junior,0.801,0.426,CEO|LinkedIn|Asia,Friday,8,Asia,0
Marketing Manager,AI,enterprise,ColdList,senior,0.133,0.203,Marketing Manager|ColdList|US,Wednesday,11,US,1
CEO,Healthcare,enterprise,ColdList,senior,0.455,0.313,CEO|ColdList|Europe,Friday,6,Europe,0
Founder,Fintech,enterprise,LinkedIn,mid,0.328,0.306,Founder|LinkedIn|Asia,Thursday,13,Asia,0
CEO,Ecommerce,large,Inbound,executive,0.664,0.519,CEO|Inbound|Asia,Monday,14,Asia,0
VP Sales,SaaS,small,Inbound,junior,0.775,0.468,VP Sales|Inbound|US,Saturday,13,US,0
HR Director,Healthcare,enterprise,Referral,mid,0.393,0.291,HR Director|Referral|Europe,Saturday,17,Europe,0
CTO,Healthcare,enterprise,Referral,executive,0.481,0.432,CTO|Referral|US,Saturday,19,US,0
VP Sales,SaaS,small,Inbound,senior,0.856,0.567,VP Sales|Inbound|US,Saturday,21,US,0
VP Sales,Fintech,small,Referral,junior,0.776,0.473,VP Sales|Referral|Asia,Sunday,11,Asia,0
Marketing Manager,Healthcare,medium,ColdList,senior,0.417,0.264,Marketing Manager|ColdList|US,Tuesday,4,US,0
HR Director,Fintech,medium,ColdList,junior,0.522,0.267,HR Director|ColdList|Asia,Wednesday,6,Asia,0
Founder,SaaS,large,LinkedIn,mid,0.054,0.291,Founder|LinkedIn|Europe,Thursday,10,Europe,0
Marketing Manager,SaaS,large,Referral,junior,0.141,0.245,Marketing Manager|Referral|Europe,Wednesday,16,Europe,1
Marketing Manager,AI,small,Inbound,mid,0.738,0.381,Marketing Manager|Inbound|Asia,Tuesday,5,Asia,0
Founder,Ecommerce,enterprise,LinkedIn,mid,0.265,0.261,Founder|LinkedIn|US,Monday,9,US,1
VP Sales,SaaS,medium,Referral,senior,0.703,0.515,VP Sales|Referral|Europe,Tuesday,4,Europe,0
Marketing Manager,AI,large,Conference,executive,0.065,0.256,Marketing Manager|Conference|Europe,Tuesday,14,Europe,0
Founder,SaaS,large,Conference,junior,0.18,0.259,Founder|Conference|Europe,Thursday,13,Europe,0
CEO,Ecommerce,medium,Inbound,senior,0.179,0.387,CEO|Inbound|US,Saturday,1,US,0
CTO,Fintech,large,Referral,mid,0.569,0.459,CTO|Referral|Europe,Thursday,5,Europe,0
HR Director,AI,medium,ColdList,executive,0.473,0.308,HR Director|ColdList|Asia,Tuesday,22,Asia,0
CTO,Fintech,enterprise,LinkedIn,junior,0.148,0.241,CTO|LinkedIn|Asia,Thursday,11,Asia,0
VP Sales,SaaS,large,Referral,junior,0.79,0.486,VP Sales|Referral|Asia,Monday,13,Asia,0
HR Director,Healthcare,large,Inbound,junior,0.046,0.198,HR Director|Inbound|Europe,Saturday,8,Europe,0
Marketing Manager,AI,large,Referral,mid,0.749,0.407,Marketing Manager|Referral|Asia,Friday,13,Asia,0
HR Director,SaaS,small,Conference,mid,0.165,0.226,HR Director|Conference|Asia,Thursday,12,Asia,0
CTO,Ecommerce,enterprise,Inbound,senior,0.669,0.501,CTO|Inbound|Asia,Monday,1,Asia,0
CEO,SaaS,small,LinkedIn,junior,0.9,0.503,CEO|LinkedIn|US,Saturday,13,US,0
VP Sales,Healthcare,enterprise,ColdList,senior,0.402,0.331,VP Sales|ColdList|US,Friday,13,US,0
VP Sales,SaaS,medium,ColdList,senior,0.803,0.44,VP Sales|ColdList|US,Saturday,6,US,0
HR Director,Healthcare,large,LinkedIn,senior,0.297,0.28,HR Director|LinkedIn|US,Thursday,23,US,0
Marketing Manager,SaaS,large,LinkedIn,executive,0.396,0.367,Marketing Manager|LinkedIn|Europe,Saturday,12,Europe,0
VP Sales,AI,enterprise,LinkedIn,junior,0.786,0.418,VP Sales|LinkedIn|Asia,Saturday,7,Asia,0
Founder,Healthcare,large,Inbound,senior,0.637,0.451,Founder|Inbound|Asia,Monday,0,Asia,0
CTO,AI,large,ColdList,executive,0.918,0.503,CTO|ColdList|Asia,Saturday,11,Asia,0
VP Sales,Healthcare,small,ColdList,junior,0.285,0.254,VP Sales|ColdList|US,Thursday,9,US,0
Founder,SaaS,medium,Conference,mid,0.179,0.251,Founder|Conference|US,Friday,4,US,0
CEO,AI,medium,Inbound,mid,0.166,0.283,CEO|Inbound|US,Saturday,11,US,0
Marketing Manager,Ecommerce,enterprise,Referral,senior,0.026,0.259,Marketing Manager|Referral|Asia,Sunday,13,Asia,0
Founder,SaaS,enterprise,Inbound,mid,0.659,0.427,Founder|Inbound|Europe,Saturday,9,Europe,1
VP Sales,Ecommerce,medium,ColdList,senior,0.399,0.336,VP Sales|ColdList|Asia,Thursday,12,Asia,1
HR Director,SaaS,large,Referral,executive,0.506,0.464,HR Director|Referral|Europe,Saturday,23,Europe,0
Founder,Fintech,large,Conference,mid,0.571,0.39,Founder|Conference|Europe,Sunday,5,Europe,0
CEO,AI,enterprise,Referral,executive,0.245,0.432,CEO|Referral|Europe,Wednesday,22,Europe,0
CEO,Healthcare,small,ColdList,executive,0.177,0.299,CEO|ColdList|Asia,Sunday,21,Asia,0
VP Sales,Healthcare,enterprise,LinkedIn,junior,0.353,0.338,VP Sales|LinkedIn|Asia,Wednesday,19,Asia,0
VP Sales,Ecommerce,enterprise,Referral,executive,0.758,0.544,VP Sales|Referral|Asia,Saturday,16,Asia,0
CEO,AI,large,Inbound,senior,0.889,0.584,CEO|Inbound|Asia,Sunday,7,Asia,0
Founder,AI,small,Inbound,executive,0.622,0.483,Founder|Inbound|US,Wednesday,13,US,1
Founder,Ecommerce,medium,Referral,junior,0.544,0.434,Founder|Referral|US,Friday,0,US,0
VP Sales,Ecommerce,small,Referral,mid,0.494,0.439,VP Sales|Referral|US,Thursday,19,US,0
CTO,Fintech,medium,LinkedIn,junior,0.386,0.323,CTO|LinkedIn|Europe,Monday,16,Europe,0
Founder,SaaS,large,Referral,mid,0.073,0.321,Founder|Referral|Europe,Tuesday,7,Europe,0
Marketing Manager,SaaS,medium,LinkedIn,mid,0.485,0.32,Marketing Manager|LinkedIn|US,Tuesday,7,US,0
CTO,SaaS,medium,Inbound,senior,0.604,0.482,CTO|Inbound|US,Sunday,7,US,0
VP Sales,Ecommerce,small,LinkedIn,junior,0.69,0.473,VP Sales|LinkedIn|Asia,Saturday,18,Asia,0
VP Sales,AI,medium,Referral,senior,0.85,0.597,VP Sales|Referral|Europe,Friday,7,Europe,0
VP Sales,SaaS,large,LinkedIn,senior,0.285,0.359,VP Sales|LinkedIn|Europe,Thursday,9,Europe,0
CTO,Ecommerce,enterprise,LinkedIn,mid,0.483,0.383,CTO|LinkedIn|US,Friday,5,US,0
HR Director,Ecommerce,small,Inbound,mid,0.283,0.258,HR Director|Inbound|Asia,Saturday,18,Asia,0
VP Sales,SaaS,small,ColdList,mid,0.178,0.239,VP Sales|ColdList|Asia,Saturday,2,Asia,0
CEO,Healthcare,enterprise,Referral,senior,0.148,0.309,CEO|Referral|US,Sunday,1,US,0
Founder,AI,large,Referral,mid,0.167,0.299,Founder|Referral|Asia,Thursday,15,Asia,1
VP Sales,Ecommerce,small,LinkedIn,executive,0.987,0.569,VP Sales|LinkedIn|Asia,Thursday,23,Asia,0
CEO,AI,small,ColdList,mid,0.507,0.347,CEO|ColdList|US,Sunday,8,US,1
CEO,SaaS,large,LinkedIn,executive,0.686,0.521,CEO|LinkedIn|Asia,Wednesday,6,Asia,0
Marketing Manager,Fintech,small,Inbound,senior,0.779,0.42,Marketing Manager|Inbound|Europe,Monday,21,Europe,0
Founder,AI,large,Referral,senior,0.413,0.414,Founder|Referral|US,Thursday,14,US,0
VP Sales,Ecommerce,enterprise,LinkedIn,junior,0.559,0.389,VP Sales|LinkedIn|US,Saturday,7,US,0
CTO,AI,medium,ColdList,senior,0.718,0.473,CTO|ColdList|Europe,Monday,2,Europe,0
Founder,Healthcare,medium,Referral,mid,0.565,0.481,Founder|Referral|Asia,Monday,22,Asia,0
CTO,Fintech,small,Referral,senior,0.028,0.29,CTO|Referral|Asia,Tuesday,12,Asia,0
Marketing Manager,SaaS,medium,ColdList,junior,0.401,0.26,Marketing Manager|ColdList|Asia,Monday,2,Asia,0
VP Sales,SaaS,small,Conference,junior,0.668,0.462,VP Sales|Conference|Europe,Wednesday,17,Europe,0
Founder,Ecommerce,enterprise,Referral,junior,0.164,0.312,Founder|Referral|US,Sunday,8,US,1
HR Director,AI,small,Referral,junior,0.578,0.418,HR Director|Referral|Europe,Monday,3,Europe,0
HR Director,Healthcare,enterprise,Conference,executive,0.902,0.454,HR Director|Conference|US,Friday,10,US,1
VP Sales,SaaS,medium,LinkedIn,executive,0.422,0.448,VP Sales|LinkedIn|Europe,Wednesday,2,Europe,0
CEO,Fintech,medium,Inbound,junior,0.252,0.337,CEO|Inbound|Europe,Wednesday,7,Europe,0
HR Director,Fintech,large,Referral,mid,0.059,0.258,HR Director|Referral|Asia,Wednesday,20,Asia,0
Founder,Ecommerce,enterprise,Referral,senior,0.709,0.535,Founder|Referral|Europe,Thursday,5,Europe,0
